Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
4th (53),4:12,11,-3,3,10,21,0,4,7,3,0,2,9,12,8,yes,3,4,0,1,4,4,1,1
5th (53),4:24,10,-2,2,7,18,0,3,15,3,0,1,12,6,5,no,13,3,0,2,3,2,4,1
6th (49),3:01,4,-3,8,7,10,0,5,18,2,1,1,11,17,4,no,11,2,0,3,1,4,5,0
7th (45),3:03,12,-2,2,13,20,0,0,0,3,0,0,12,14,10,no,8,4,0,0,5,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),3:01,16,0,8,7,9,0,7,20,2,0,1,8,10,5,no,11,2,0,3,2,5,3,1
2nd (61),3:18,18,0,3,5,27,0,0,8,3,1,2,9,15,9,no,10,5,0,0,4,1,3,1
3rd (57),3:23,8,-1,1,3,4,26,0,16,2,1,0,20,6,5,no,14,1,6,2,2,5,1,0
4th (54),2:53,1,-4,4,3,8,38,4,0,3,0,2,6,7,1,no,9,1,6,1,1,3,3,2
5th (52),3:52,1,-4,6,20,17,1,6,5,4,1,0,10,12,1,no,8,3,1,1,1,3,2,2
6th (46),2:58,0,-3,10,10,19,1,3,6,3,0,1,12,16,5,no,12,4,1,1,2,2,3,2
7th (41),3:25,8,-4,4,7,14,0,6,6,3,0,2,10,9,8,no,13,3,0,1,3,6,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),2:42,11,-2,10,3,8,26,9,0,3,2,1,6,20,2,no,9,1,5,0,1,2,3,3
2nd (59),3:11,5,-4,5,20,19,0,4,10,4,0,1,11,12,6,no,8,5,0,1,2,3,3,0
3rd (56),3:25,14,0,2,5,11,0,4,20,3,0,3,12,13,11,no,10,2,0,2,5,4,1,1
4th (53),2:26,13,-1,5,7,27,2,0,0,3,0,2,4,20,8,no,13,5,2,0,4,0,3,1
5th (52),4:44,1,-5,1,10,37,0,3,5,3,0,2,26,12,1,no,12,8,0,1,1,1,3,1
6th (49),2:31,10,-2,6,7,9,0,7,12,2,0,1,16,12,6,no,11,2,0,2,2,5,3,2
7th (45),3:06,0,-2,1,3,0,43,0,0,3,2,5,20,6,5,no,14,0,8,1,3,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),4:46,14,-1,4,20,22,0,0,0,4,1,2,8,16,7,no,8,5,0,0,3,1,3,1
2nd (58),4:03,16,0,5,7,15,0,3,12,3,1,2,4,6,10,no,13,3,0,2,5,2,2,0
3rd (54),3:24,4,-2,8,5,12,1,14,12,3,0,1,13,6,3,no,10,2,1,1,2,5,1,3
4th (53),4:39,8,-2,3,3,6,26,0,9,2,0,1,8,9,1,no,14,1,5,2,1,3,4,2
5th (48),2:41,5,-4,7,3,16,10,3,8,3,2,3,9,12,3,no,9,3,2,1,1,5,3,0
6th (45),3:25,5,-5,4,10,18,13,0,0,3,1,6,10,5,3,no,12,5,5,0,1,0,2,1
7th (38),2:46,3,-3,5,7,6,0,3,17,2,1,2,12,10,5,no,11,2,0,2,2,5,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (66),4:10,18,0,7,10,19,0,3,9,3,1,2,12,4,6,no,12,3,0,1,3,5,1,1
2nd (64),3:43,18,0,5,10,14,0,3,14,3,1,1,12,5,8,yes,4,2,0,1,3,5,3,0
3rd (59),4:04,18,0,7,10,11,0,4,9,3,0,0,6,16,10,yes,3,2,0,1,5,2,3,2
4th (59),4:02,0,-6,1,3,8,38,0,15,2,0,4,10,4,2,no,14,3,7,3,1,1,1,2
5th (53),4:23,0,-6,2,3,16,38,0,0,2,0,4,5,10,0,yes,2,3,7,0,0,2,2,2
6th (46),5:32,0,-4,6,20,6,1,10,7,4,0,4,5,12,2,no,8,1,1,1,1,7,3,0
7th (45),4:17,5,-3,7,7,19,4,6,0,3,0,1,10,9,8,no,13,4,2,0,3,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (72),4:09,18,0,6,7,8,0,3,30,3,0,1,6,6,7,no,13,2,0,4,4,3,2,0
2nd (57),2:59,0,-6,3,3,4,38,6,9,3,2,3,12,4,0,no,9,1,7,1,0,2,1,3
3rd (55),4:00,15,0,8,10,19,0,3,0,3,0,0,8,10,10,no,12,3,0,0,5,3,3,1
4th (48),3:01,0,-4,1,3,30,10,0,8,2,0,1,4,8,3,no,14,6,3,1,2,0,4,2
5th (42),5:40,0,-3,6,7,28,0,4,0,2,1,4,4,8,7,no,11,6,0,0,2,4,3,0
6th (36),3:00,6,-2,7,3,2,9,5,6,1,0,3,2,9,9,no,8,1,3,1,4,5,3,0
7th (34),3:29,13,-1,4,5,11,0,2,0,3,1,3,9,0,10,no,10,2,0,0,4,5,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (58),7:51,8,-4,3,3,6,31,4,7,2,0,4,11,8,5,no,14,2,7,1,2,4,1,1
2nd (56),3:46,13,-1,10,5,10,0,7,12,2,0,2,7,14,6,no,10,2,0,1,3,6,3,1
3rd (55),4:06,11,-2,6,10,18,1,0,11,3,0,0,15,20,7,no,12,3,1,2,4,1,3,1
4th (55),3:57,1,-4,5,7,14,21,3,8,3,1,4,8,10,1,no,13,2,6,1,1,1,3,0
5th (54),3:49,13,-1,3,7,32,0,0,0,2,0,2,12,8,10,no,11,6,0,0,3,1,4,2
