Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
3,52,2:57,6,-3,2,3,10,34,0,0,2,0,4,6,11,7,yes,2,2,6,0,3,2,2,1
4,49,3:53,13,0,1,20,6,0,0,9,4,2,0,8,4,7,no,8,1,0,1,4,2,3,1
5,42,4:35,0,-6,8,7,8,13,4,8,3,0,1,6,14,3,no,13,2,3,2,1,4,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,6:26,3,-2,1,7,3,36,0,9,3,0,4,16,12,2,no,13,1,8,1,1,2,2,0
2,56,4:47,9,-2,7,20,13,0,4,5,4,0,0,8,22,6,no,8,3,0,1,4,1,4,1
3,56,5:00,15,0,2,7,25,0,0,7,2,0,2,8,8,9,no,11,4,0,1,4,3,3,1
4,50,6:31,5,-3,3,3,11,26,5,0,3,0,4,26,14,5,no,9,2,4,1,2,5,2,1
5,48,5:27,5,-4,6,10,13,0,5,13,3,0,2,8,10,6,no,12,4,0,2,2,1,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,2:37,9,-1,9,7,0,0,11,23,2,0,1,8,10,5,no,11,0,0,3,2,5,3,3
2,55,2:42,0,-3,5,3,0,50,0,0,2,0,5,8,17,4,no,14,0,10,0,2,1,3,2
3,51,3:29,10,0,6,5,15,0,3,12,3,1,0,14,16,10,no,10,3,0,1,5,3,2,0
4,49,4:36,0,-2,4,10,21,0,0,16,3,1,3,9,4,4,no,12,5,0,2,2,2,3,0
5,49,3:02,5,-2,2,7,26,0,3,8,3,1,1,20,12,10,no,13,5,0,1,4,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,2:28,0,-6,2,3,12,55,0,0,2,2,5,12,6,0,no,14,2,10,0,0,1,2,1
2,63,2:38,15,-1,6,7,7,0,8,21,3,1,0,12,12,5,no,13,2,0,2,3,2,5,0
3,56,2:01,17,0,2,7,21,0,4,5,2,0,2,10,2,11,no,11,4,0,1,4,4,3,0
4,52,2:42,6,-3,8,3,9,10,6,13,3,0,1,6,14,6,no,9,2,2,2,3,4,1,3
5,52,3:11,6,-4,5,2,15,18,4,6,1,0,2,8,14,4,no,12,3,4,2,2,1,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,3:34,8,-1,0,10,29,4,0,5,3,0,4,18,6,5,no,12,7,2,1,2,1,2,0
2,51,3:15,18,0,7,5,8,0,3,10,3,2,1,11,12,9,no,10,1,0,1,5,2,2,2
3,49,4:16,8,-3,6,3,9,10,9,7,3,1,4,10,6,6,no,9,2,2,1,3,6,1,1
4,44,2:27,0,-3,7,3,13,10,6,8,3,1,1,8,13,5,no,14,2,3,1,2,5,2,2
5,41,2:21,1,-4,5,20,14,0,0,5,4,2,1,4,14,1,no,8,3,0,1,1,0,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,2:47,18,0,5,5,11,0,7,25,3,0,2,16,13,9,no,10,2,0,2,5,4,1,1
2,65,2:22,18,0,3,7,18,0,5,14,2,0,0,8,6,7,no,11,3,0,2,3,2,5,1
3,56,2:23,0,-3,2,0,5,48,4,0,2,0,5,4,5,3,no,13,1,9,0,1,1,2,2
4,48,3:12,0,-6,9,20,12,0,4,9,4,1,0,16,15,4,no,8,2,0,1,2,4,3,1
