Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),2:22,17,-1,4,7,19,0,0,19,2,0,0,16,10,8,no,11,4,0,2,3,3,3,1,#51574696
2nd (63),4:17,0,-6,2,2,10,55,0,0,1,2,7,6,6,0,no,14,2,9,1,0,0,2,2,389
3rd (55),3:26,16,-1,6,10,17,0,7,0,3,0,0,12,6,8,no,12,3,0,0,4,4,4,0,
4th (49),3:12,2,-4,9,20,3,0,5,14,4,1,2,6,14,2,no,8,1,0,2,2,5,2,1,
5th (47),5:35,9,-2,3,7,17,13,0,0,3,0,1,8,12,6,no,13,3,4,0,3,1,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),3:40,0,-6,5,3,7,48,0,10,3,1,4,5,15,0,no,14,2,8,2,0,1,2,2,#61312059
2nd (63),4:15,17,0,8,5,17,0,7,9,3,0,1,4,18,8,no,10,4,0,0,4,4,3,0,389
3rd (56),4:51,9,-2,2,20,5,0,4,18,4,0,1,26,6,6,no,8,1,0,3,3,4,3,0,
4th (54),3:44,16,0,9,7,12,0,4,6,2,1,1,9,20,10,no,11,2,0,1,4,3,4,1,
5th (43),4:55,0,-4,2,10,29,0,0,6,3,1,1,21,6,4,no,12,5,0,1,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),2:09,0,-4,2,10,0,55,0,0,3,0,5,8,2,0,no,12,0,9,1,0,2,3,0,#55103390
2nd (58),3:02,9,-3,9,7,21,0,6,9,3,0,1,4,9,1,no,13,5,0,2,1,4,3,0,389
3rd (51),2:11,5,-3,5,3,16,13,6,6,2,1,3,6,7,3,no,9,3,4,1,1,2,3,3,
