Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
2,49,4:32,5,-3,2,13,7,0,10,15,3,1,2,19,2,5,no,8,2,0,2,3,7,0,0,447
3,48,3:19,5,-5,5,7,27,0,0,9,3,2,1,10,18,6,no,13,5,0,2,2,0,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,4:08,17,-1,7,7,10,0,3,24,3,1,2,7,17,8,no,13,2,0,3,4,3,2,0,#62681289
2,49,3:02,10,-2,0,13,25,0,3,0,3,0,3,12,8,7,no,8,6,0,0,4,3,2,0,447
3,43,3:26,0,-6,2,5,6,36,0,0,2,2,6,8,2,3,no,10,1,8,0,1,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,3:48,11,-1,2,10,29,0,3,10,3,0,1,12,4,5,yes,3,5,0,1,3,2,4,0,#61113633
2,60,3:23,0,-4,3,3,0,43,0,15,3,3,5,8,7,1,no,14,0,9,2,1,0,2,1,447
3,54,2:38,13,-1,5,20,12,0,5,0,4,0,4,5,14,6,no,8,3,0,0,3,5,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,5:58,13,0,7,7,25,0,6,8,3,0,1,6,16,6,no,13,5,0,1,4,2,3,0,#59235810
2,48,4:06,5,-4,4,3,15,16,4,5,3,0,3,10,15,6,no,14,2,5,1,2,4,2,2,447
3,44,5:09,4,-4,0,3,11,18,0,12,3,3,2,21,6,1,no,9,3,3,3,1,2,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,2:04,17,-1,3,7,8,13,0,7,3,0,1,4,5,8,no,13,1,4,1,4,1,3,1,#56948028
2,50,3:24,0,-6,4,15,22,0,8,7,3,1,2,9,6,0,yes,1,5,0,1,0,5,3,0,447
3,47,3:17,10,-2,2,10,19,0,0,8,3,1,3,7,9,5,yes,3,4,0,2,3,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,2:56,8,-2,3,20,6,0,7,17,4,0,0,17,13,4,no,8,1,0,2,3,4,3,1,#60303571
2,52,2:23,5,-5,5,5,23,0,3,16,3,2,3,7,6,5,no,10,5,0,1,2,3,2,0,445
3,51,2:52,14,-2,5,3,26,0,0,5,3,3,2,15,20,6,no,14,6,0,1,3,1,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,4:05,4,-4,5,10,23,10,3,8,3,0,3,10,15,1,yes,6,4,2,2,1,4,2,0,#60770735
2,59,5:03,13,-1,4,20,10,0,5,8,4,0,0,11,12,4,no,8,2,0,1,3,3,5,0,445
